Game_ID,Genre,Session_Date,Daily_Active_Sessions,Avg_Session_Duration,Levels_Completed,Coins_Earned,Coins_Spent,Ads_Revenue,InApp_Purchase_Revenue,Bug_Reports,Server_Downtime_Min
Game_A,Puzzle,2024-02-08,2831.0,,59.0,1068.0,6477.0,13222.0,,43.0,37.0
Game_C,Racing,2024-02-09,1583.0,48.0,57.0,,3579.0,3177.0,1406.0,21.0,
Game_C,,2024-02-10,,26.0,454.0,,6795.0,9142.0,12455.0,34.0,75.0
Game_C,Racing,2024-02-11,1235.0,48.0,254.0,7200.0,2758.0,1148.0,7698.0,32.0,36.0
Game_B,Racing,,3103.0,14.0,364.0,6396.0,3491.0,18879.0,2120.0,26.0,100.0
Game_D,Puzzle,2024-02-13,2942.0,59.0,483.0,7993.0,,14105.0,12320.0,39.0,30.0
Game_D,Puzzle,,,10.0,246.0,4598.0,585.0,2744.0,12266.0,25.0,61.0
Game_D,Puzzle,2024-02-15,2930.0,21.0,247.0,1573.0,2993.0,2646.0,4918.0,18.0,17.0
Game_D,Puzzle,2024-02-16,1109.0,55.0,79.0,5214.0,6947.0,10864.0,9023.0,44.0,89.0
Game_C,Action,2024-02-17,1191.0,54.0,450.0,8636.0,8823.0,14666.0,4838.0,,
Game_B,Action,,,42.0,69.0,2478.0,8088.0,4667.0,929.0,44.0,
Game_B,Puzzle,2024-02-19,2116.0,28.0,97.0,7127.0,,17960.0,5801.0,25.0,10.0
Game_C,,,1861.0,55.0,179.0,7676.0,5583.0,12287.0,,5.0,94.0
Game_B,Puzzle,2024-02-21,3615.0,14.0,342.0,3196.0,6690.0,17302.0,,2.0,118.0
Game_C,Racing,2024-02-22,2083.0,12.0,434.0,9166.0,3304.0,14010.0,8772.0,5.0,109.0
Game_D,Racing,,,,,9846.0,,5779.0,2073.0,27.0,
Game_C,,2024-02-24,,10.0,405.0,7050.0,1784.0,,8535.0,2.0,1.0
Game_D,Puzzle,2024-02-25,4611.0,25.0,103.0,5650.0,1189.0,14029.0,919.0,,28.0
Game_D,Racing,2024-02-26,4120.0,43.0,427.0,9484.0,,3972.0,966.0,12.0,109.0
Game_A,Action,2024-02-27,4491.0,28.0,330.0,5526.0,5282.0,19429.0,5676.0,12.0,
Game_C,Racing,,1636.0,37.0,,5412.0,,12140.0,3893.0,0.0,105.0
Game_A,,2024-02-29,2036.0,22.0,314.0,6443.0,,19011.0,14788.0,39.0,
Game_C,Racing,2024-03-01,1035.0,32.0,,,2496.0,15847.0,10257.0,,22.0
Game_C,Action,2024-03-02,3148.0,56.0,339.0,3593.0,4881.0,15423.0,10210.0,30.0,99.0
Game_A,Puzzle,,4865.0,36.0,92.0,7852.0,8180.0,2488.0,7933.0,16.0,6.0
Game_A,Action,2024-03-04,4157.0,16.0,123.0,7629.0,929.0,10127.0,7894.0,,55.0
Game_C,Puzzle,2024-03-05,4587.0,52.0,399.0,4869.0,,10906.0,12722.0,44.0,76.0
,Puzzle,2024-03-06,4294.0,46.0,327.0,8971.0,,2802.0,2535.0,12.0,
Game_D,Racing,2024-03-07,2361.0,31.0,375.0,8822.0,5968.0,16627.0,,36.0,61.0
Game_A,Puzzle,2024-03-08,2983.0,14.0,,3989.0,5007.0,4520.0,9769.0,13.0,73.0
Game_D,Action,2024-03-09,,50.0,179.0,,1027.0,,2132.0,10.0,99.0
Game_B,Action,2024-03-10,3430.0,56.0,399.0,6340.0,3496.0,16244.0,,24.0,79.0
Game_B,Puzzle,2024-03-11,2879.0,46.0,243.0,4823.0,3967.0,,7621.0,30.0,14.0
Game_B,Racing,2024-03-12,4966.0,36.0,81.0,4932.0,1861.0,,503.0,13.0,
Game_A,Racing,2024-03-13,4447.0,46.0,,9554.0,7317.0,,7977.0,6.0,42.0
Game_B,Action,2024-03-14,,,449.0,3429.0,1203.0,9009.0,6498.0,23.0,
Game_A,Racing,2024-03-15,3837.0,29.0,253.0,8444.0,1162.0,,1102.0,48.0,
Game_B,Puzzle,,,15.0,50.0,8147.0,6756.0,13227.0,7756.0,35.0,119.0
Game_D,Puzzle,2024-03-17,,27.0,294.0,,8867.0,6462.0,11059.0,41.0,34.0
Game_D,Action,2024-03-18,4446.0,,121.0,4598.0,5797.0,,14186.0,41.0,
Game_C,Puzzle,2024-03-19,1010.0,56.0,481.0,5329.0,5878.0,4458.0,12367.0,46.0,
Game_D,Action,2024-03-20,3011.0,44.0,355.0,7718.0,805.0,4730.0,9192.0,43.0,
Game_C,Puzzle,2024-03-21,4373.0,,446.0,,5997.0,8547.0,14473.0,40.0,92.0
Game_D,,,3143.0,33.0,64.0,,,1027.0,7214.0,2.0,68.0
,Racing,2024-03-23,4261.0,35.0,102.0,9500.0,2890.0,16508.0,8876.0,46.0,
Game_D,Puzzle,2024-03-24,3500.0,11.0,477.0,1051.0,7722.0,,12201.0,43.0,17.0
Game_C,Puzzle,2024-03-25,3239.0,44.0,57.0,1318.0,8433.0,,,,50.0
Game_C,Action,2024-03-26,1485.0,37.0,379.0,,1965.0,18557.0,3647.0,46.0,0.0
Game_B,Action,2024-03-27,2289.0,25.0,,8018.0,8352.0,17722.0,11632.0,25.0,26.0
Game_A,,2024-03-28,2447.0,6.0,374.0,,902.0,10260.0,9987.0,0.0,63.0
Game_D,,2024-03-29,,22.0,,,7440.0,,8644.0,,59.0
Game_B,Puzzle,,3285.0,51.0,,7057.0,,18225.0,554.0,,90.0
,Racing,2024-03-31,2943.0,37.0,215.0,7875.0,8595.0,13476.0,10416.0,36.0,88.0
Game_D,Action,2024-04-01,4426.0,,428.0,5431.0,8868.0,13938.0,3410.0,6.0,40.0
Game_B,,2024-04-02,2963.0,38.0,188.0,2525.0,5044.0,17677.0,2370.0,11.0,20.0
Game_B,Racing,2024-04-03,4183.0,24.0,166.0,8043.0,6160.0,11049.0,12864.0,37.0,13.0
Game_B,Racing,2024-04-04,2851.0,39.0,348.0,,,,11035.0,2.0,115.0
Game_B,Puzzle,2024-04-05,2469.0,55.0,325.0,9705.0,2848.0,6614.0,11982.0,41.0,116.0
Game_B,Action,2024-04-06,2366.0,54.0,453.0,7125.0,7350.0,12683.0,3848.0,25.0,19.0
,Puzzle,2024-04-07,4216.0,58.0,326.0,8874.0,4902.0,,,29.0,91.0
Game_B,Racing,2024-04-08,4136.0,22.0,387.0,7900.0,1250.0,4801.0,6267.0,,84.0
Game_A,Puzzle,2024-04-09,4318.0,50.0,362.0,3500.0,4562.0,9280.0,11485.0,35.0,86.0
Game_C,Action,2024-04-10,3782.0,28.0,227.0,4464.0,7934.0,,6330.0,44.0,10.0
Game_B,Racing,2024-04-11,1990.0,12.0,,,8905.0,11148.0,12029.0,36.0,119.0
Game_B,Puzzle,2024-04-12,4561.0,34.0,403.0,8496.0,2117.0,15060.0,8620.0,17.0,
Game_D,Action,2024-04-13,1824.0,48.0,203.0,3659.0,3030.0,18283.0,7543.0,,83.0
,Racing,2024-04-14,2462.0,57.0,463.0,,3833.0,2744.0,2590.0,20.0,23.0
Game_B,,2024-04-15,3153.0,14.0,250.0,2502.0,7734.0,,5980.0,,118.0
Game_B,Racing,2024-04-16,3228.0,27.0,415.0,5656.0,,12853.0,9943.0,47.0,88.0
Game_D,,2024-04-17,3231.0,56.0,164.0,6430.0,8207.0,15663.0,6870.0,15.0,36.0
Game_B,,2024-04-18,1225.0,53.0,208.0,9598.0,,2633.0,5682.0,47.0,85.0
Game_C,,,1776.0,15.0,91.0,4176.0,5582.0,9149.0,670.0,,23.0
Game_D,Action,2024-04-20,3837.0,6.0,296.0,2860.0,7360.0,15671.0,3309.0,,14.0
,Action,2024-04-21,,30.0,117.0,7158.0,752.0,,7493.0,18.0,11.0
Game_D,Puzzle,2024-04-22,2112.0,40.0,494.0,6806.0,,,8429.0,47.0,109.0
Game_B,Action,2024-04-23,1687.0,37.0,494.0,,3976.0,2013.0,11046.0,0.0,
Game_C,Racing,2024-04-24,1529.0,51.0,375.0,1722.0,2225.0,17279.0,10465.0,30.0,106.0
Game_D,Racing,2024-04-25,4442.0,,383.0,8579.0,2593.0,4299.0,7211.0,41.0,
,Racing,2024-04-26,,44.0,245.0,1613.0,2201.0,2506.0,12446.0,33.0,30.0
Game_B,Racing,2024-04-27,1935.0,,139.0,4331.0,8996.0,5803.0,4491.0,45.0,52.0
Game_D,Puzzle,,4984.0,8.0,160.0,,6334.0,,7635.0,39.0,93.0
Game_A,Action,2024-04-29,2422.0,46.0,417.0,4116.0,,19201.0,,5.0,104.0
,Puzzle,2024-04-30,3153.0,23.0,408.0,1330.0,,15760.0,1326.0,,83.0
,Action,2024-05-01,2294.0,22.0,194.0,3212.0,6801.0,11826.0,10357.0,2.0,71.0
Game_B,Action,,2998.0,41.0,324.0,6493.0,8072.0,14821.0,629.0,30.0,43.0
Game_C,Action,2024-05-03,3878.0,34.0,,,1524.0,14007.0,,15.0,29.0
Game_A,Puzzle,2024-05-04,2526.0,23.0,,6614.0,3475.0,16786.0,13962.0,16.0,34.0
,Action,2024-05-05,1678.0,27.0,375.0,6913.0,5356.0,10140.0,7298.0,43.0,20.0
Game_B,Puzzle,2024-05-06,4596.0,58.0,368.0,6913.0,7224.0,7798.0,,26.0,110.0
Game_A,,2024-05-07,3896.0,20.0,380.0,6611.0,,17857.0,12479.0,,103.0
Game_D,Racing,2024-05-08,4103.0,5.0,,1319.0,5087.0,1567.0,1907.0,19.0,62.0
Game_D,Action,2024-05-09,3440.0,16.0,202.0,9085.0,5422.0,12624.0,5636.0,31.0,91.0
Game_D,,2024-05-10,1039.0,,153.0,5200.0,5546.0,13215.0,9285.0,34.0,102.0
Game_A,Racing,,,38.0,124.0,5791.0,,,1537.0,,16.0
Game_A,Puzzle,2024-05-12,4289.0,57.0,177.0,1329.0,7703.0,19642.0,10820.0,47.0,11.0
Game_A,Puzzle,2024-05-13,4802.0,12.0,248.0,,7978.0,9120.0,11970.0,42.0,
Game_C,Action,,4028.0,22.0,203.0,7742.0,5774.0,17279.0,12991.0,,
,Racing,2024-05-15,2105.0,52.0,105.0,5916.0,4113.0,12336.0,8046.0,47.0,
,Action,2024-05-16,1844.0,9.0,327.0,2793.0,,5310.0,6403.0,1.0,110.0
Game_A,,2024-05-17,2743.0,30.0,394.0,7457.0,3584.0,14187.0,14355.0,,118.0
Game_C,Racing,2024-05-18,3248.0,34.0,68.0,9125.0,6765.0,,522.0,26.0,91.0
Game_A,Racing,2024-05-19,1446.0,58.0,208.0,6703.0,7098.0,2982.0,,24.0,59.0
Game_D,Puzzle,2024-05-20,4915.0,17.0,75.0,,2915.0,2096.0,6787.0,3.0,66.0
Game_A,Racing,2024-05-21,4499.0,23.0,475.0,7644.0,1258.0,14582.0,12693.0,31.0,
Game_D,,2024-05-22,4109.0,33.0,218.0,8420.0,4842.0,7497.0,12891.0,16.0,14.0
,Puzzle,2024-05-23,2234.0,7.0,72.0,5155.0,7566.0,14545.0,1905.0,0.0,15.0
Game_D,Puzzle,2024-05-24,3491.0,30.0,96.0,9411.0,3616.0,,10170.0,32.0,21.0
,Racing,2024-05-25,2350.0,44.0,62.0,3611.0,1264.0,16378.0,6967.0,29.0,117.0
Game_C,Action,2024-05-26,3808.0,16.0,266.0,6691.0,4529.0,,1694.0,4.0,112.0
Game_C,,2024-05-27,1226.0,6.0,371.0,3593.0,6945.0,19803.0,9267.0,11.0,94.0
Game_A,Action,2024-05-28,1047.0,15.0,243.0,1095.0,7943.0,5279.0,8423.0,37.0,62.0
Game_D,Action,2024-05-29,,48.0,193.0,,1817.0,,2106.0,,30.0
Game_C,Racing,2024-05-30,,32.0,122.0,,1200.0,8312.0,13061.0,37.0,0.0
Game_C,Action,2024-05-31,2462.0,22.0,205.0,9437.0,8027.0,16440.0,,16.0,74.0
Game_A,Action,2024-06-01,2830.0,17.0,126.0,,,3369.0,8816.0,44.0,5.0
Game_C,Racing,2024-06-02,4779.0,41.0,468.0,8644.0,2093.0,17192.0,,,86.0
Game_A,Puzzle,2024-06-03,,26.0,218.0,7560.0,4645.0,18450.0,11056.0,31.0,8.0
Game_B,Action,2024-06-04,3392.0,16.0,,6247.0,,6432.0,10558.0,23.0,51.0
Game_C,Racing,2024-06-05,3271.0,6.0,134.0,6356.0,7497.0,1687.0,6750.0,11.0,79.0
Game_B,Action,2024-06-06,3877.0,41.0,465.0,,7526.0,14175.0,2183.0,46.0,61.0
Game_A,Action,2024-06-07,3535.0,11.0,231.0,5898.0,,1068.0,9598.0,30.0,57.0
Game_D,Puzzle,2024-06-08,2932.0,30.0,364.0,2417.0,,11295.0,12226.0,18.0,101.0
Game_C,Action,2024-06-09,3924.0,,,9846.0,2408.0,,9121.0,28.0,
Game_A,Racing,2024-06-10,1848.0,28.0,161.0,1110.0,,17803.0,3251.0,20.0,18.0
Game_D,Action,2024-06-11,3032.0,16.0,,9281.0,2290.0,13190.0,8004.0,25.0,108.0
Game_D,Puzzle,2024-06-12,2252.0,20.0,279.0,9954.0,8668.0,11789.0,12517.0,27.0,12.0
Game_B,Puzzle,2024-06-13,2413.0,,145.0,,3428.0,,8163.0,,31.0
Game_A,Racing,2024-06-14,1978.0,44.0,487.0,6132.0,8181.0,11316.0,9053.0,8.0,99.0
Game_D,Puzzle,2024-06-15,,13.0,217.0,,5751.0,1439.0,13583.0,20.0,8.0
Game_C,Action,2024-06-16,2016.0,36.0,427.0,9289.0,4627.0,18592.0,9123.0,,109.0
Game_C,Puzzle,2024-06-17,3235.0,19.0,205.0,6239.0,5463.0,,3222.0,33.0,109.0
Game_B,Racing,,2881.0,41.0,,1292.0,5811.0,8466.0,6139.0,10.0,48.0
Game_D,Puzzle,2024-06-19,1269.0,17.0,154.0,2734.0,2525.0,18637.0,13646.0,19.0,
Game_A,,2024-06-20,2630.0,9.0,242.0,6120.0,8315.0,4209.0,14217.0,48.0,
Game_C,Puzzle,2024-06-21,1309.0,,,7393.0,1487.0,4549.0,11753.0,49.0,30.0
Game_D,,2024-06-22,4203.0,14.0,488.0,3196.0,5810.0,,3723.0,46.0,58.0
Game_D,Puzzle,2024-06-23,3043.0,56.0,181.0,,2465.0,4078.0,,,54.0
,,2024-06-24,2574.0,17.0,404.0,2906.0,,,10322.0,,18.0
,Action,2024-06-25,2095.0,45.0,431.0,2721.0,1368.0,4543.0,,28.0,62.0
Game_C,Racing,2024-06-26,4864.0,57.0,187.0,2816.0,2563.0,19284.0,13363.0,0.0,1.0
Game_A,Puzzle,,3892.0,50.0,480.0,9444.0,1629.0,7751.0,5684.0,17.0,44.0
,Racing,2024-06-28,2695.0,54.0,380.0,5227.0,,,13680.0,21.0,95.0
Game_A,Puzzle,2024-06-29,4258.0,,319.0,6775.0,5654.0,19096.0,769.0,,42.0
Game_C,Puzzle,,3533.0,46.0,,4849.0,,15425.0,,6.0,97.0
Game_B,,2024-07-01,4262.0,11.0,445.0,6228.0,6951.0,19713.0,6615.0,24.0,0.0
Game_C,Action,2024-07-02,2445.0,44.0,94.0,7849.0,2434.0,12811.0,9815.0,29.0,84.0
Game_A,Action,,3167.0,32.0,450.0,2058.0,1576.0,18578.0,11868.0,33.0,60.0
Game_A,Action,2024-07-04,1219.0,36.0,212.0,3322.0,,7781.0,7798.0,43.0,2.0
Game_B,Racing,2024-07-05,1052.0,39.0,,9378.0,2139.0,18762.0,12084.0,47.0,90.0
Game_C,Racing,2024-07-06,2757.0,19.0,380.0,1948.0,,,5033.0,40.0,
Game_C,Action,2024-07-07,2474.0,52.0,302.0,9179.0,8722.0,15797.0,1542.0,10.0,6.0
Game_B,Racing,,4483.0,40.0,218.0,5359.0,8496.0,,2141.0,14.0,32.0
Game_C,Puzzle,2024-07-09,2666.0,,334.0,6660.0,1203.0,,,34.0,8.0
Game_C,Puzzle,2024-07-10,2260.0,10.0,323.0,,,5695.0,11133.0,22.0,29.0
Game_A,Puzzle,2024-07-11,3805.0,5.0,,9401.0,8924.0,13174.0,3797.0,44.0,17.0
,Action,2024-07-12,3785.0,8.0,288.0,3093.0,,17222.0,7555.0,,55.0
Game_C,,2024-07-13,1719.0,15.0,319.0,2563.0,5862.0,17661.0,1883.0,27.0,89.0
,Action,2024-07-14,1405.0,48.0,467.0,9217.0,1450.0,11750.0,14241.0,12.0,83.0
Game_B,Racing,2024-07-15,3655.0,30.0,482.0,1174.0,8750.0,8307.0,4496.0,33.0,101.0
Game_D,,2024-07-16,4068.0,41.0,359.0,,3318.0,19545.0,514.0,,104.0
Game_A,Action,,3469.0,,80.0,1321.0,4100.0,14818.0,2174.0,5.0,118.0
Game_C,Racing,2024-07-18,3759.0,33.0,363.0,,8993.0,2389.0,,43.0,30.0
Game_C,Racing,2024-07-19,3294.0,25.0,153.0,6604.0,8345.0,9882.0,4117.0,,71.0
Game_D,Puzzle,2024-07-20,1071.0,,219.0,,3444.0,11040.0,,4.0,62.0
Game_C,Action,2024-07-21,2853.0,49.0,235.0,8436.0,6755.0,7141.0,7057.0,39.0,86.0
Game_A,Action,,3232.0,49.0,177.0,9524.0,8080.0,,5974.0,5.0,49.0
Game_D,Action,2024-07-23,3053.0,53.0,259.0,6674.0,5764.0,6969.0,1980.0,,88.0
Game_A,Puzzle,,2229.0,31.0,,6002.0,8018.0,14162.0,10437.0,27.0,110.0
Game_D,Action,2024-07-25,2567.0,43.0,330.0,,8622.0,10131.0,8198.0,,
,Puzzle,2024-07-26,4682.0,44.0,496.0,1949.0,1678.0,6037.0,3546.0,22.0,109.0
Game_B,Puzzle,2024-07-27,3953.0,17.0,,6425.0,4355.0,15693.0,7863.0,7.0,81.0
,Puzzle,2024-07-28,1386.0,27.0,,3514.0,6537.0,3451.0,,18.0,18.0
Game_C,Racing,2024-07-29,2791.0,20.0,249.0,8701.0,1027.0,1024.0,4710.0,,114.0
Game_C,Action,2024-07-30,1698.0,34.0,269.0,1100.0,2559.0,6962.0,5971.0,49.0,105.0
Game_A,Action,2024-07-31,4147.0,8.0,185.0,5646.0,711.0,3556.0,1475.0,9.0,63.0
Game_C,Puzzle,2024-08-01,2200.0,44.0,272.0,7945.0,2214.0,17444.0,,27.0,115.0
Game_C,Puzzle,2024-08-02,1826.0,20.0,52.0,3400.0,3188.0,8675.0,2583.0,19.0,52.0
Game_A,,2024-08-03,2822.0,35.0,285.0,6801.0,,17506.0,10981.0,43.0,5.0
Game_D,Puzzle,,,57.0,391.0,3343.0,5649.0,6616.0,2186.0,27.0,16.0
Game_A,Action,2024-08-05,2278.0,46.0,277.0,1352.0,1832.0,11294.0,4658.0,,45.0
Game_D,Racing,2024-08-06,,29.0,450.0,3955.0,7320.0,18570.0,7309.0,7.0,108.0
Game_C,Puzzle,2024-08-07,4773.0,48.0,191.0,2018.0,6391.0,15010.0,9200.0,,71.0
Game_C,Action,2024-08-08,,16.0,,2179.0,,14394.0,687.0,47.0,117.0
Game_C,Puzzle,2024-08-09,4416.0,30.0,239.0,6193.0,4591.0,10922.0,3282.0,20.0,105.0
Game_B,Action,2024-08-10,2150.0,,399.0,4536.0,943.0,5089.0,4688.0,17.0,72.0
Game_D,Action,2024-08-11,2960.0,52.0,,3502.0,1426.0,15448.0,4600.0,8.0,
Game_B,Puzzle,2024-08-12,3334.0,37.0,,4819.0,6746.0,,12201.0,3.0,54.0
Game_B,Racing,2024-08-13,1765.0,32.0,188.0,7855.0,1122.0,11469.0,,40.0,90.0
Game_A,Action,2024-08-14,1724.0,13.0,325.0,1979.0,3537.0,,2572.0,24.0,99.0
,Action,2024-08-15,,16.0,340.0,1976.0,733.0,3964.0,,33.0,5.0
Game_A,,2024-08-16,2619.0,9.0,102.0,3280.0,3191.0,9104.0,597.0,,69.0
,Racing,2024-08-17,4558.0,58.0,224.0,6897.0,7902.0,,,8.0,108.0
Game_B,Racing,2024-08-18,,56.0,159.0,1107.0,886.0,3212.0,7305.0,17.0,67.0
Game_D,Puzzle,2024-08-19,4477.0,58.0,252.0,2626.0,2134.0,10454.0,3964.0,10.0,85.0
Game_D,Racing,2024-08-20,3435.0,32.0,485.0,9895.0,,7792.0,2287.0,12.0,39.0
Game_D,Puzzle,2024-08-21,1524.0,39.0,185.0,7229.0,4633.0,10554.0,8263.0,37.0,
Game_D,Puzzle,2024-08-22,4628.0,9.0,53.0,7877.0,6081.0,9703.0,5904.0,8.0,100.0
Game_D,Racing,2024-08-23,3686.0,38.0,204.0,1874.0,2467.0,14219.0,1183.0,15.0,65.0
,Puzzle,2024-08-24,3985.0,,,6543.0,6068.0,16399.0,,3.0,8.0
Game_B,Racing,2024-08-25,4697.0,,473.0,4809.0,7784.0,19229.0,12814.0,33.0,10.0
,Puzzle,2024-08-26,,,407.0,3107.0,,8660.0,6377.0,6.0,19.0
Game_D,Racing,,3547.0,43.0,96.0,1559.0,5645.0,2702.0,6698.0,14.0,115.0
Game_B,,2024-08-28,,46.0,143.0,9308.0,,17774.0,,37.0,42.0
Game_C,Puzzle,,1336.0,49.0,477.0,5969.0,,18038.0,11815.0,,
Game_D,Action,2024-08-30,2973.0,52.0,97.0,4046.0,,5271.0,4336.0,31.0,
Game_A,Puzzle,2024-08-31,3979.0,18.0,289.0,1043.0,3279.0,9955.0,13568.0,26.0,77.0
Game_C,Racing,2024-09-01,1480.0,15.0,396.0,,6692.0,12459.0,10306.0,29.0,25.0
Game_B,Action,2024-09-02,4968.0,46.0,262.0,,2177.0,7674.0,1541.0,16.0,37.0
Game_A,Puzzle,2024-09-03,1910.0,42.0,485.0,4439.0,4677.0,18469.0,11557.0,35.0,93.0
Game_A,Puzzle,2024-09-04,2996.0,8.0,389.0,4928.0,7711.0,6446.0,6389.0,18.0,35.0
Game_A,Puzzle,2024-09-05,,57.0,373.0,,8373.0,2963.0,1354.0,6.0,
Game_C,Action,2024-09-06,4991.0,37.0,188.0,1916.0,4341.0,10977.0,6238.0,42.0,98.0
Game_B,Racing,2024-09-07,4129.0,11.0,254.0,1798.0,,11466.0,14720.0,44.0,54.0
,Puzzle,2024-09-08,2351.0,45.0,430.0,5971.0,6916.0,6177.0,2526.0,20.0,5.0
Game_D,Puzzle,2024-09-09,3033.0,12.0,122.0,2760.0,5385.0,,,,2.0
Game_A,Puzzle,2024-09-10,2754.0,41.0,53.0,4275.0,1094.0,5572.0,,,64.0
Game_A,Puzzle,2024-09-11,1108.0,55.0,125.0,1818.0,3112.0,8543.0,3050.0,13.0,63.0
Game_C,Puzzle,,4350.0,14.0,378.0,6040.0,6859.0,9907.0,13900.0,1.0,
Game_C,Racing,2024-09-13,4757.0,47.0,126.0,4065.0,1996.0,,7589.0,28.0,116.0
,Racing,2024-09-14,1327.0,19.0,353.0,4259.0,4055.0,7510.0,739.0,17.0,57.0
Game_D,Puzzle,2024-09-15,2799.0,42.0,305.0,1906.0,5361.0,18221.0,989.0,36.0,17.0
Game_C,Action,,1314.0,19.0,,1602.0,,4323.0,12543.0,44.0,22.0
Game_A,Racing,2024-09-17,4545.0,9.0,151.0,5295.0,3858.0,10537.0,1536.0,44.0,95.0
,Action,,2134.0,,155.0,4527.0,1414.0,11615.0,10030.0,,28.0
Game_A,,2024-09-19,3746.0,23.0,382.0,5543.0,2344.0,2432.0,6632.0,45.0,22.0
Game_A,,2024-09-20,1780.0,58.0,88.0,2811.0,2495.0,,5280.0,11.0,35.0
,,,4300.0,55.0,363.0,8963.0,8125.0,9431.0,8409.0,44.0,
,Puzzle,2024-09-22,2520.0,14.0,324.0,,,9330.0,,31.0,80.0
Game_D,Racing,,1155.0,16.0,137.0,5615.0,3569.0,12385.0,6622.0,,81.0
Game_D,Puzzle,2024-09-24,2496.0,58.0,260.0,9916.0,,9611.0,11246.0,,94.0
Game_C,,,2724.0,8.0,418.0,7766.0,1546.0,14872.0,6210.0,3.0,5.0
